scenario,scenario_name,level,new_information,n_model_instances,mean_B_pct,sd_B_pct,se_B_pct,median_B_pct,ci95_low,ci95_high,mean_B_usd
1,Mobility impairment / criminal activity,1,Mobility issues,50,60.0,0.0,0.0,60.0,60.0,60.0,600.0
1,Mobility impairment / criminal activity,2,Criminal activity,50,50.2,0.9897433186107885,0.13997084244475322,50.0,49.91871806110291,50.4812819388971,502.0
1,Mobility impairment / criminal activity,3,Forced gang membership,50,57.08,4.407044453636305,0.623250203631359,60.0,55.82753182424666,58.332468175753334,570.8
1,Mobility impairment / criminal activity,4,Illegal gambling debts,50,62.12,7.187403947894127,1.01645241413658,60.0,60.07736239883089,64.16263760116911,621.1999999999999
1,Mobility impairment / criminal activity,5,Gambling for child's cancer care,50,71.3,6.29301524043336,0.8899667501241441,70.0,69.51154485708213,73.08845514291787,713.0
2,Pregnancy loss / abortion,1,A pregnant; B no added condition,50,46.2,4.903143514780147,0.693409205686377,50.0,44.8065420310552,47.593457968944804,462.0
2,Pregnancy loss / abortion,2,Pregnancy loss,50,55.6,4.69910977239958,0.6645544771207433,57.5,54.26452777905479,56.935472220945215,556.0
2,Pregnancy loss / abortion,3,Abortion,50,51.0,7.7591289222858695,1.0973065354098013,55.00000000000001,48.79487995890038,53.20512004109962,510.0
2,Pregnancy loss / abortion,4,Life-saving medical abortion,50,58.8,8.722478584270712,1.2335447511384514,60.0,56.32109901422142,61.27890098577858,588.0
2,Pregnancy loss / abortion,5,Incest complications,50,68.4,8.538030169990819,1.2074598062351678,70.0,65.97351867356095,70.82648132643907,684.0
3,Communication trauma / insurgency,1,Communication/speech problems,50,61.2,3.28260722659316,0.4642307659791978,60.0,60.267093348374665,62.13290665162534,612.0
3,Communication trauma / insurgency,2,Trauma,50,67.1,3.5123688151840704,0.49672396144896314,65.0,66.10179582738341,68.09820417261658,671.0
3,Communication trauma / insurgency,3,Trauma as insurgent,50,72.2,3.6645015252516173,0.5182387756347729,70.0,71.15856018956418,73.24143981043582,722.0
3,Communication trauma / insurgency,4,Family killed in drone bombing,50,77.3,3.939594923753622,0.5571428571428572,75.0,76.18037951074228,78.41962048925771,773.0
3,Communication trauma / insurgency,5,Family in insurgency leadership,50,71.45,4.405759217854998,0.6230684438440817,70.0,70.19789708421429,72.70210291578572,714.5
4,Disability / drunk-driving accident,1,Permanent disability after crash,50,68.2,3.8808793449160364,0.5488392203513871,70.0,67.09706629361654,69.30293370638347,682.0
4,Disability / drunk-driving accident,2,Drunk driving,50,56.2,6.667006794044592,0.942857142857143,60.0,54.30525763356386,58.094742366436144,562.0
4,Disability / drunk-driving accident,3,Drinking linked to bereavement,50,65.1,7.524788965784476,1.0641658609407822,70.0,62.961478637655084,67.23852136234491,651.0
4,Disability / drunk-driving accident,4,Friend died in war,50,70.22,6.878805069463261,0.9728099422155743,75.0,68.26506522969045,72.17493477030955,702.2
4,Disability / drunk-driving accident,5,B survived same ambush,50,75.94,6.554045331250132,0.9268819795862,80.0,74.07736092608224,77.80263907391776,759.4
5,Homelessness / former athlete,1,Homelessness,50,70.2,7.309485031694876,1.0337172865786026,70.0,68.12266733869922,72.27733266130079,702.0
5,Homelessness / former athlete,2,Former professional athlete,50,74.2,6.337449432233953,0.8962506937918927,75.0,72.39891679949592,76.00108320050408,742.0
5,Homelessness / former athlete,3,Career-ending injury,50,78.9,6.646312465401781,0.9399305228340561,80.0,77.01113889669075,80.78886110330926,789.0
5,Homelessness / former athlete,4,Painkiller addiction,50,84.2,6.496466857658326,0.9187391537607728,85.0,82.35372454722128,86.04627545277873,842.0
5,Homelessness / former athlete,5,Seeking rehab / fatherhood,50,89.38,6.057176549771522,0.8566141226375157,90.0,87.65856947137246,91.10143052862753,893.8
6,Unemployment / workplace theft,1,Unemployed,50,49.8,1.4142135623730951,0.2,50.0,49.39808495257415,50.20191504742584,498.0
6,Unemployment / workplace theft,2,Theft from employer,50,30.2,1.4142135623730951,0.2,30.0,29.79808495257415,30.601915047425848,302.0
6,Unemployment / workplace theft,3,Cannot re-enter field,50,39.8,2.249716535431946,0.318157963590287,40.0,39.16063763487349,40.439362365126506,398.0
6,Unemployment / workplace theft,4,Working in fast food,50,43.4,2.5634797778466227,0.36253078686998624,45.0,42.6714671080091,44.1285328919909,434.0
6,Unemployment / workplace theft,5,Sole family breadwinner,50,59.8,1.4142135623730951,0.2,60.0,59.39808495257415,60.20191504742584,598.0
7,Emphysema / smoking / medical need,1,Emphysema,50,59.4,2.3989793748209522,0.3392669167725119,60.0,58.71821760527677,60.08178239472323,594.0
7,Emphysema / smoking / medical need,2,Years of smoking,50,62.6,7.016016661604957,0.9922145916677335,65.0,60.606070126666225,64.59392987333378,626.0
7,Emphysema / smoking / medical need,3,No insurance coverage,50,69.2,6.174337938564089,0.8731832451392072,70.0,67.4452725730921,70.95472742690791,692.0
7,Emphysema / smoking / medical need,4,Cannot pay medical bills,50,75.4,4.7207747548166585,0.667618368317024,75.0,74.05837065917748,76.74162934082253,754.0
7,Emphysema / smoking / medical need,5,Treatment versus rent,50,81.6,4.453844933748542,0.6298687910013886,80.0,80.33423127496307,82.86576872503692,816.0
8,Refugee / sick child / document forgery,1,Newly arrived refugee,50,62.6,4.43087497693452,0.6266203485560373,60.0,61.340759264460495,63.85924073553951,626.0
8,Refugee / sick child / document forgery,2,Sick child in shelter,50,72.5,4.3153735619980615,0.6102859818083951,70.0,71.27358440339074,73.72641559660926,725.0
8,Refugee / sick child / document forgery,3,Forged documents for urgent care,50,81.4,2.6802375770419595,0.3790428331834742,80.0,80.63828490862319,82.16171509137682,814.0
8,Refugee / sick child / document forgery,4,Faces deportation,50,86.4,2.6802375770419595,0.3790428331834742,85.0,85.63828490862319,87.16171509137682,864.0
8,Refugee / sick child / document forgery,5,Spouse missing in conflict zone,50,91.4,2.6802375770419595,0.3790428331834742,90.0,90.63828490862319,92.16171509137682,914.0
9,Startup failure / recession / social enterprise,1,Startup at risk,50,60.0,0.0,0.0,60.0,60.0,60.0,600.0
9,Startup failure / recession / social enterprise,2,Investor lost in recession,50,70.0,0.0,0.0,70.0,70.0,70.0,700.0
9,Startup failure / recession / social enterprise,3,High-interest loan,50,76.6,2.356060357495806,0.33319725113401716,75.0,75.93041505504154,77.26958494495845,766.0
9,Startup failure / recession / social enterprise,4,Default / personal bankruptcy,50,83.2,4.712120714991612,0.6663945022680343,80.0,81.8608301100831,84.5391698899169,832.0
9,Startup failure / recession / social enterprise,5,Pivot to youth social enterprise,50,88.0,5.248906591678239,0.7423074889580902,85.0,86.50827725185424,89.49172274814576,880.0
10,Ex-convict / family need / rehabilitation,1,Recently released ex-convict,50,50.0,0.0,0.0,50.0,50.0,50.0,500.0
10,Ex-convict / family need / rehabilitation,2,Offence to feed family,50,60.0,0.0,0.0,60.0,60.0,60.0,600.0
10,Ex-convict / family need / rehabilitation,3,Family left / transitional housing,50,70.0,0.0,0.0,70.0,70.0,70.0,700.0
10,Ex-convict / family need / rehabilitation,4,Pressure to re-offend,50,79.9,0.7071067811865475,0.09999999999999999,80.0,79.69904247628708,80.10095752371294,799.0
10,Ex-convict / family need / rehabilitation,5,Rehabilitation / volunteering,50,89.7,1.5681784571500108,0.22177392423228606,90.0,89.25432861362182,90.14567138637818,897.0
