source_file,simulation id,created,agent,model,temperature,Persona,scenario,scenario_name,level,stage_cue,question id,question,answer instruction,answer,allocation_A,allocation_B,allocation_B_share,allocation_B_pct,parse_method
crav_vignette_10_raw.csv,1739336546,2025-02-12 05:02:37+00:00,1,gpt-4o,0.7,You are a person,1,Mobility impairment / criminal activity,1,Mobility issues,Scenario_1_V2_Level_1,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issues.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $600 to Person B and $400 to Person A. Person B has mobility issues, which may require more financial support for medical or accessibility needs.",400.0,600.0,0.6,60.0,explicit_A_and_B
crav_vignette_10_raw.csv,1739336546,2025-02-12 05:02:37+00:00,1,gpt-4o,0.7,You are a person,1,Mobility impairment / criminal activity,2,Criminal activity,Scenario_1_V2_Level_2,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $500 to Person B and $500 to Person A. While Person B has mobility issues due to criminal activity, it's important to recognize the severity of their condition but also consider the context of the criminal activity.",500.0,500.0,0.5,50.0,explicit_A_and_B
crav_vignette_10_raw.csv,1739336546,2025-02-12 05:02:37+00:00,1,gpt-4o,0.7,You are a person,1,Mobility impairment / criminal activity,3,Forced gang membership,Scenario_1_V2_Level_3,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity, they were forced to become a gang member.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $600 to Person B and $400 to Person A. Being forced into a gang due to mobility issues suggests coercion, which might warrant more support for rehabilitation and recovery.",400.0,600.0,0.6,60.0,explicit_A_and_B
crav_vignette_10_raw.csv,1739336546,2025-02-12 05:02:37+00:00,1,gpt-4o,0.7,You are a person,1,Mobility impairment / criminal activity,4,Illegal gambling debts,Scenario_1_V2_Level_4,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity, they were forced to become a gang member as a consequence of accumulating illegal gambling debts with no other means to pay them off.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $700 to Person B and $300 to Person A. The situation of being forced into a gang due to debts highlights a lack of choices, indicating a greater need for financial assistance to help change circumstances.",300.0,700.0,0.7,70.0,explicit_A_and_B
crav_vignette_10_raw.csv,1739336546,2025-02-12 05:02:37+00:00,1,gpt-4o,0.7,You are a person,1,Mobility impairment / criminal activity,5,Gambling for child's cancer care,Scenario_1_V2_Level_5,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity, they were forced to become a gang member as a consequence of accumulating illegal gambling debts with no other means to pay them off, they had initially gambled to finance their child’s cancer treatment.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $800 to Person B and $200 to Person A. The underlying reason for gambling—financing a child’s cancer treatment—adds a layer of empathy and understanding, suggesting Person B merits significant support to improve their situation and, hopefully, their family's.",200.0,800.0,0.8,80.0,explicit_A_and_B
crav_vignette_01_raw.csv,1739334483,2025-02-12 04:28:09+00:00,1,gpt-4o,0.7,You are a person,2,Pregnancy loss / abortion,1,A pregnant; B no added condition,Scenario_2_Level_1,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $600 to Person A and $400 to Person B. The allocation considers the additional financial needs typically associated with pregnancy, such as prenatal care and preparation for the upcoming birth.",600.0,400.0,0.4,40.0,explicit_A_and_B
crav_vignette_01_raw.csv,1739334483,2025-02-12 04:28:09+00:00,1,gpt-4o,0.7,You are a person,2,Pregnancy loss / abortion,2,Pregnancy loss,Scenario_2_Level_2,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, recently lost her child during pregnancy.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $500 to Person A and $500 to Person B. Both individuals are in challenging circumstances, with Person A needing support during her pregnancy and Person B needing emotional and possibly financial support following a recent loss.",500.0,500.0,0.5,50.0,explicit_A_and_B
crav_vignette_01_raw.csv,1739334483,2025-02-12 04:28:09+00:00,1,gpt-4o,0.7,You are a person,2,Pregnancy loss / abortion,3,Abortion,Scenario_2_Level_3,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, lost her child during pregnancy due to an abortion.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $550 to Person A and $450 to Person B. Person A requires funds for prenatal care, while Person B may need support for counseling and recovery after the abortion.",550.0,450.0,0.45,45.0,explicit_A_and_B
crav_vignette_01_raw.csv,1739334483,2025-02-12 04:28:09+00:00,1,gpt-4o,0.7,You are a person,2,Pregnancy loss / abortion,4,Life-saving medical abortion,Scenario_2_Level_4,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, lost her child due to an abortion for medical reasons that saved her life.",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $500 to Person A and $500 to Person B. Both have experienced significant medical and emotional situations, with Person A needing prenatal care and Person B potentially requiring psychological and physical recovery support.",500.0,500.0,0.5,50.0,explicit_A_and_B
crav_vignette_01_raw.csv,1739334483,2025-02-12 04:28:09+00:00,1,gpt-4o,0.7,You are a person,2,Pregnancy loss / abortion,5,Incest complications,Scenario_2_Level_5,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, lost her child due to an abortion for life-saving medical reasons, with complications from incest (pregnancy by brother).",Allocate a total of $1000 USD between Person A and Person B.,"Allocate $400 to Person A and $600 to Person B. Person B may need substantial emotional and psychological support due to the complex and traumatic nature of her experience, including the incest aspect, which might necessitate additional resources for counseling and safety.",400.0,600.0,0.6,60.0,explicit_A_and_B
