agent,scenario,from_level,to_level,transition,new_information,delta_B_pp
1,1,1,2,L1→L2,Criminal activity,-10.0
2,1,1,2,L1→L2,Criminal activity,-10.0
3,1,1,2,L1→L2,Criminal activity,-10.0
4,1,1,2,L1→L2,Criminal activity,-10.0
5,1,1,2,L1→L2,Criminal activity,-10.0
6,1,1,2,L1→L2,Criminal activity,-10.0
7,1,1,2,L1→L2,Criminal activity,-10.0
8,1,1,2,L1→L2,Criminal activity,-10.0
9,1,1,2,L1→L2,Criminal activity,-10.0
10,1,1,2,L1→L2,Criminal activity,-10.0
11,1,1,2,L1→L2,Criminal activity,-10.0
12,1,1,2,L1→L2,Criminal activity,-10.0
13,1,1,2,L1→L2,Criminal activity,-10.0
14,1,1,2,L1→L2,Criminal activity,-10.0
15,1,1,2,L1→L2,Criminal activity,-10.0
16,1,1,2,L1→L2,Criminal activity,-10.0
17,1,1,2,L1→L2,Criminal activity,-10.0
18,1,1,2,L1→L2,Criminal activity,-10.0
19,1,1,2,L1→L2,Criminal activity,-10.0
20,1,1,2,L1→L2,Criminal activity,-10.0
21,1,1,2,L1→L2,Criminal activity,-10.0
22,1,1,2,L1→L2,Criminal activity,-10.0
23,1,1,2,L1→L2,Criminal activity,-10.0
24,1,1,2,L1→L2,Criminal activity,-10.0
25,1,1,2,L1→L2,Criminal activity,-10.0
26,1,1,2,L1→L2,Criminal activity,-10.0
27,1,1,2,L1→L2,Criminal activity,-10.0
28,1,1,2,L1→L2,Criminal activity,-10.0
29,1,1,2,L1→L2,Criminal activity,-10.0
30,1,1,2,L1→L2,Criminal activity,-10.0
31,1,1,2,L1→L2,Criminal activity,-4.999999999999993
32,1,1,2,L1→L2,Criminal activity,-10.0
33,1,1,2,L1→L2,Criminal activity,-10.0
34,1,1,2,L1→L2,Criminal activity,-10.0
35,1,1,2,L1→L2,Criminal activity,-10.0
36,1,1,2,L1→L2,Criminal activity,-10.0
37,1,1,2,L1→L2,Criminal activity,-10.0
38,1,1,2,L1→L2,Criminal activity,-10.0
39,1,1,2,L1→L2,Criminal activity,-10.0
40,1,1,2,L1→L2,Criminal activity,-10.0
41,1,1,2,L1→L2,Criminal activity,-10.0
42,1,1,2,L1→L2,Criminal activity,-10.0
43,1,1,2,L1→L2,Criminal activity,-10.0
44,1,1,2,L1→L2,Criminal activity,-10.0
45,1,1,2,L1→L2,Criminal activity,-10.0
46,1,1,2,L1→L2,Criminal activity,-10.0
47,1,1,2,L1→L2,Criminal activity,-10.0
48,1,1,2,L1→L2,Criminal activity,-10.0
49,1,1,2,L1→L2,Criminal activity,-4.999999999999993
50,1,1,2,L1→L2,Criminal activity,-10.0
1,1,2,3,L2→L3,Forced gang membership,10.0
2,1,2,3,L2→L3,Forced gang membership,10.0
3,1,2,3,L2→L3,Forced gang membership,10.0
4,1,2,3,L2→L3,Forced gang membership,5.000000000000007
5,1,2,3,L2→L3,Forced gang membership,5.000000000000007
6,1,2,3,L2→L3,Forced gang membership,10.0
7,1,2,3,L2→L3,Forced gang membership,10.0
8,1,2,3,L2→L3,Forced gang membership,10.0
9,1,2,3,L2→L3,Forced gang membership,10.0
10,1,2,3,L2→L3,Forced gang membership,-10.0
11,1,2,3,L2→L3,Forced gang membership,10.0
12,1,2,3,L2→L3,Forced gang membership,5.000000000000007
13,1,2,3,L2→L3,Forced gang membership,5.000000000000007
14,1,2,3,L2→L3,Forced gang membership,10.0
15,1,2,3,L2→L3,Forced gang membership,5.000000000000007
16,1,2,3,L2→L3,Forced gang membership,10.0
17,1,2,3,L2→L3,Forced gang membership,5.000000000000007
18,1,2,3,L2→L3,Forced gang membership,5.000000000000007
19,1,2,3,L2→L3,Forced gang membership,5.000000000000007
20,1,2,3,L2→L3,Forced gang membership,10.0
21,1,2,3,L2→L3,Forced gang membership,10.0
22,1,2,3,L2→L3,Forced gang membership,5.000000000000007
23,1,2,3,L2→L3,Forced gang membership,10.0
24,1,2,3,L2→L3,Forced gang membership,10.0
25,1,2,3,L2→L3,Forced gang membership,10.0
26,1,2,3,L2→L3,Forced gang membership,5.000000000000007
27,1,2,3,L2→L3,Forced gang membership,10.0
28,1,2,3,L2→L3,Forced gang membership,5.000000000000007
29,1,2,3,L2→L3,Forced gang membership,-10.0
30,1,2,3,L2→L3,Forced gang membership,10.0
31,1,2,3,L2→L3,Forced gang membership,-3.000000000000007
32,1,2,3,L2→L3,Forced gang membership,5.000000000000007
33,1,2,3,L2→L3,Forced gang membership,10.0
34,1,2,3,L2→L3,Forced gang membership,10.0
35,1,2,3,L2→L3,Forced gang membership,10.0
36,1,2,3,L2→L3,Forced gang membership,5.000000000000007
37,1,2,3,L2→L3,Forced gang membership,5.000000000000007
38,1,2,3,L2→L3,Forced gang membership,10.0
39,1,2,3,L2→L3,Forced gang membership,10.0
40,1,2,3,L2→L3,Forced gang membership,10.0
41,1,2,3,L2→L3,Forced gang membership,10.0
42,1,2,3,L2→L3,Forced gang membership,10.0
43,1,2,3,L2→L3,Forced gang membership,5.000000000000007
44,1,2,3,L2→L3,Forced gang membership,10.0
