scenario,scenario_name,level,transition,new_information,question id,question,answer instruction
1,Mobility impairment / criminal activity,1,Initial presentation,Mobility issues,Scenario_1_V2_Level_1,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issues.",Allocate a total of $1000 USD between Person A and Person B.
1,Mobility impairment / criminal activity,2,L1→L2,Criminal activity,Scenario_1_V2_Level_2,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity.",Allocate a total of $1000 USD between Person A and Person B.
1,Mobility impairment / criminal activity,3,L2→L3,Forced gang membership,Scenario_1_V2_Level_3,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity, they were forced to become a gang member.",Allocate a total of $1000 USD between Person A and Person B.
1,Mobility impairment / criminal activity,4,L3→L4,Illegal gambling debts,Scenario_1_V2_Level_4,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity, they were forced to become a gang member as a consequence of accumulating illegal gambling debts with no other means to pay them off.",Allocate a total of $1000 USD between Person A and Person B.
1,Mobility impairment / criminal activity,5,L4→L5,Gambling for child's cancer care,Scenario_1_V2_Level_5,"Person A: Male, 40 years; Person B: Male, 40 years, mobility issue due to criminal activity, they were forced to become a gang member as a consequence of accumulating illegal gambling debts with no other means to pay them off, they had initially gambled to finance their child’s cancer treatment.",Allocate a total of $1000 USD between Person A and Person B.
2,Pregnancy loss / abortion,1,Initial presentation,A pregnant; B no added condition,Scenario_2_Level_1,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years.",Allocate a total of $1000 USD between Person A and Person B.
2,Pregnancy loss / abortion,2,L1→L2,Pregnancy loss,Scenario_2_Level_2,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, recently lost her child during pregnancy.",Allocate a total of $1000 USD between Person A and Person B.
2,Pregnancy loss / abortion,3,L2→L3,Abortion,Scenario_2_Level_3,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, lost her child during pregnancy due to an abortion.",Allocate a total of $1000 USD between Person A and Person B.
2,Pregnancy loss / abortion,4,L3→L4,Life-saving medical abortion,Scenario_2_Level_4,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, lost her child due to an abortion for medical reasons that saved her life.",Allocate a total of $1000 USD between Person A and Person B.
2,Pregnancy loss / abortion,5,L4→L5,Incest complications,Scenario_2_Level_5,"Person A: Female, 28 years, pregnant; Person B: Female, 28 years, lost her child due to an abortion for life-saving medical reasons, with complications from incest (pregnancy by brother).",Allocate a total of $1000 USD between Person A and Person B.
3,Communication trauma / insurgency,1,Initial presentation,Communication/speech problems,Scenario_3_Level_1,"Person A: Male, 20 years; Person B: Male, 20 years, communication/speech problems.",Allocate a total of $1000 USD between Person A and Person B.
3,Communication trauma / insurgency,2,L1→L2,Trauma,Scenario_3_Level_2,"Person A: Male, 20 years; Person B: Male, 20 years, communication problems related to trauma.",Allocate a total of $1000 USD between Person A and Person B.
3,Communication trauma / insurgency,3,L2→L3,Trauma as insurgent,Scenario_3_Level_3,"Person A: Male, 20 years; Person B: Male, 20 years, communication problems from trauma as an insurgent in Iraq.",Allocate a total of $1000 USD between Person A and Person B.
3,Communication trauma / insurgency,4,L3→L4,Family killed in drone bombing,Scenario_3_Level_4,"Person A: Male, 20 years; Person B: Male, 20 years, communication problems from trauma as an insurgent in Iraq, joined insurgency after family died in a drone bombing.",Allocate a total of $1000 USD between Person A and Person B.
3,Communication trauma / insurgency,5,L4→L5,Family in insurgency leadership,Scenario_3_Level_5,"Person A: Male, 20 years; Person B: Male, 20 years, communication problems from trauma as an insurgent in Iraq, family was deeply involved in insurgency leadership before the drone bombing.",Allocate a total of $1000 USD between Person A and Person B.
4,Disability / drunk-driving accident,1,Initial presentation,Permanent disability after crash,Scenario_4_Level_1,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled due to a car accident.",Allocate a total of $1000 USD between Person A and Person B.
4,Disability / drunk-driving accident,2,L1→L2,Drunk driving,Scenario_4_Level_2,"Person A: Male, 38 years; Person B: Male, 38 years, permanently disabled in a car accident, he was drunk driving.",Allocate a total of $1000 USD between Person A and Person B.
